idx,class,conversation
0,일반 대화,지금 모하고 있어 하하\n 인터넷 쇼핑 중이야 하하\n 오 어떤 거 쇼핑 중인데?\n 나 청바지 보고 있어 키키\n 오호 청바지는 많으면 좋지\n 맞아 청바지는 종류가 참 많아\n 하하 근데 인터넷 쇼핑하다 바로 사게?\n 음 사실 가서 입어보고 사는 게 정확하긴 한데\n 혹시 쇼룸 있으면 가서 사자!\n 그래 그럼 더 좋을 듯!
1,일반 대화,세나2 전장 보상 나오겠다\n 그 버그는 고쳐진거야?\n 아니 그건 모르겠어\n 아까 보니 점검 계속하던데\n 응 1시간 남았더라고\n 얼른 보상이라도 받아야지\n 와 공식카페에 보상 올라온거 봐바\n 너무 적게 주는 거 아니냐?\n 소환권 15장으로 퉁치네\n 와 진짜 실망스러운데
2,일반 대화,어제 코로나 확진자가 2천명이더라. 이젠 뭐... 그러려니 할까.\n 주변 어디를 봐도 확진자수에 민감하게 반응하는 사람이 적어졌어.\n 이젠 숫자 들어도 크게 느낌이 없는 것 같아\n 불과 며칠 전 천명이었는데 뭐 이젠 그냥 숫자로 보일 정도야.\n 그러게 앞으로 위드코로나로 간다면 어떻게 변할지 그게 궁금할 뿐이야.\n 벌써 2년정도 됐으니 민감할 때는 지났다고 생각해\n 너무 반복되는데 막상 일상은 크게 변하지 않고 덤덤해지더라.\n 하루 빨리 먹는 약이 상용화 되었으면 좋겠어.\n 막상 내가 걸려보지 않고 아프지 않으니 더 그런 생각 하게 되는거 같아\n 위드코로나에 대한 우려는 끊이지 않은데 단계완화를 하는건 확실한가봐.\n 다들 기다리다가 지쳐서 이젠 반쯤 포기한거 같아.\n 난 그냥 항상 마스크 쓰고 다닐래
3,일반 대화,요즘 날씨가 너무 추워\n 그래서 호떡이 먹고 싶어\n 패딩을 꺼내야 할 거 같아\n 그래서 패딩 꺼내야겠어\n 호호 불어 먹어서 호떡이지?\n 요즘 기온이 영하야 체감상으론\n 난 봄이 너무 좋아 키키\n 나는 상남자라서 아직 반팔이야\n 그래도 겨울은 스키 탈 수 있으니까 좋아\n 겨울은 눈이 와서 너무 좋고\n 나는 눈이 정말 좋아\n 스키장 가서 헌팅하려고 하는데 같이 갈 사람 있니?\n 그래도 봄이 최고인 것 같아\n 스키보다는 보드를 좋아해\n 겨울은 아무래도 옆구리가 시려\n 스키는 너무 위험해 ㅠㅠ\n 봄에 여자친구랑 벚꽃 보러 갈 꺼야\n 거기서 뒹굴면서 배우면 추억이야
4,일반 대화,"설연휴 어떻게 보내십니까!\n 아휴~ 할것도 없고 티비에서 해주는 영화 볼 예정입니다 키키\n 명절인데 어디 안가세요?\n 네네, 부모님 두분 여행가신다고 오지말라시네요.\n 님은요?\n 저도 이번명절은 집콕합니다.\n 아이고. 무료한 명절 보내겟네요. 우리 둘다 키키\n 전 집에서 푹 쉬면서 영화나 실컷 보려구요,\n 벌써 영화시간표까지 다외움\n 키키 저도 두어개 못본 영화있어서 챙겨 보려구요.\n 그럼 명절 잘보내고 미리 팝콘도 준비해두세요^^\n 네네~ 새해복많이 받으세요.\n 전 치킨 시켜먹을꺼에요 키키"
5,일반 대화,엄마는 잔소리를 너무 자주하셔\n 그래? 얼마나 자주?\n 음 이게 한 가지에 대해서 바로바로 뭐라 하시는거야\n 아하 일처리가 안돼있으면?\n 웅웅 이거 해라 하시고 바로 또 하라 하시고?\n 아 재촉을 하신다고 해야하나?\n 웅웅 그게 더 맞는 표현이네 키키\n 키키 뭐 엄마께서 급하신 성격인가봐\n 그런 것 같아 그래도 아빠보단 아니야\n 아하 가족 성격인가보다\n 웅 나도 그런 점이 없진않아\n 키키 맞아 그런 거 같더라 키키
6,일반 대화,군기교육대 가면 공부 하는 건가 하하\n 영창은 책만 읽고 군교대는 훈련시킬걸\n 군기에 대한 교육을 하겠지...\n 아 그래도 책 읽네\n 그게 자기계발에 가장 도움이 되지\n 책이 또 좋은 교육 방법이야\n 근데 눈에 들어오기나 할까\n 심심해서 책 잘 읽힐 것 같은데 자기계발에 도움도 되고\n 자기계발을 하는데 독서만큼 좋은 게 없어\n 독서 좋아하는 애들 본 적이 없어\n 맞아 예전에는 책 되게 좋아했는데 요즘에는 안 읽은 지 너무 오래됨\n 나도 책을 안 읽은 지 몇 달 됐어\n 요즘엔 웹툰 이런 게 잘돼있잖아\n 난 년도로 들어가서... 기억도 안 나\n 종이책과의 교감을 무시하면 안돼\n 요즘 이북도 잘돼있어\n 이북 리더기도 있음\n 맞아 난 인터넷보다 종이로 된 책 읽는 게 좋아\n 이북 역시도 많은 양의 책을 담을 수 있어 좋지\n 근데 무겁고 불편하잖아\n 테블릿처럼 생겨서 이쁘고 좋아
7,일반 대화,"언니 토익에는 인강이 괜찮다던데 해본 거 있어?\n 야 너도 할 수 있어 이거 해봤어 키키\n 아하 그거 조정석이 선전하는 거 맞지?\n 맞아 그거 패키지로 샀는데 싸인 사진도 오더라 키키\n 헐 갖고 싶다 정말...\n 그런거 잘 가르쳐?키키\n 굴러 다니는데 나중에 오면 줄게 나는 하다가 안 들었어...\n 아 키키 그거 혹시 수강 기간은 얼마나 돼?\n 일년 동안 거기 패키지를 들을 수가 있어!\n 아하 그거 혹시 공유도 가능한거야?\n 웅 가족끼리 쓸 수 있다는데 5개 까지 등록된 거 같아!\n 언니 안 들으면 나한테 넘겨줘\n 키키 미안해 이미 끝나서 날라갔어,\n 하... 정말 돈이 아깝구만 ㅠㅠ\n 맞아 ㅠㅠ\n 그거 30만원 넘었는데 엄마한테 혼났어 ㅠㅠ\n 근데 인강은 진짜 돈 아까워\n 하루 10분만 투자하면 되는데 그게 너무 어럽다 ㅠㅠ"
8,일반 대화,외모가 얼마나 중요하다고 생각해?\n 엄청나게 중요하지 외모 !\n 음 ... 첫인상에서 90퍼센트는 먹고 들어가잖아\n 난 외모는 한 50%\n 처음 보면 외모밖에 안 보이니까 ㅠㅠ\n 못생기면 ... 첫인상 점수가 넘 안 좋음\n 어떤 외모 좋아해?\n 오 50퍼 밖에 안봐 ?\n 분위기나 말투는 얘기를 하면서 매력을 느끼는 거잖아\n 난 눈빛을 많이 봄\n 나는 현빈 같은 외모 ^^\n 키키 현빈 좋아한다\n 좋아해\n 눈빛이 아주 중요해\n 현빈 너무 잘생겼음 키키\n 음 인정 ...\n 눈빛도 크다\n 현빈 같은 외모는 키키\n 현빈 눈빛 발사하면 기절할 듯 !\n 나도 눈빛 좀 부리부리 했음 좋겠다
9,일반 대화,나 오늘 경기도에 놀러 갔는데 버스비가 서울보다도 비싸더라.\n 맞아. 경기도 버스비 자꾸 올라서 지금 1500원 됐잖아.\n 마을버스도 1300원이던데 너무 많이 오른 것 같아.\n 이렇게 자꾸 올라서 교통비가 한 달에 얼마가 드는 건지.\n 어쩔 수 없이 올린다고는 하지만 부담되는 건 사실이야.\n 수도권 지하철 요금보다도 비싸서 버스 잘 안타게 되는 것 같아.\n 그렇지? 하지만 그렇다고 택시를 타기엔 그것도 비싸고.\n 택시는 어쩌다 한 번 타는 것 아니면 너무 많이 드니까.\n 그래도 급할 때는 택시 이용하게 되더라.\n 여럿이 타면 버스보다 오히려 더 쌀 때도 있고 말야.\n 사실 가끔은 택시타면 기분전환도 되고 좋더라.\n 비싸도 한 번 쯤은 질러 주는 거지~!
10,일반 대화,이번에 너네 집 이사했다고 들었는데 맞아?\n 응 얼마 전에 아파트로 이사했어!\n 오 부럽다 키키 아파트는 어때?\n 우리 집은 빌란데...\n 아파트 나도 처음 살아보는데 좋아!\n 헉 엘리베이터 있는 집에서 살아보는 게 내 로망이야\n 키키 너도 아파트에서 살 수 있어!\n 우리 집은 아직 이사 생각이 없는 거 같아 ㅠㅠ\n 나중에 독립하면 아파트에서 생활해 봐!\n 그럴까? 근데 아마 독립하면 원룸 일 듯 키키\n 하긴 사회 초년생이니깐 원룸부터 시작하겠다\n 응 나는 바로 아파트 가기엔 너무 무리야!\n 그럼 우리 돈 많이 벌어서 청약 넣자!\n 헉 청약은 뭐야?\n 나 처음 들어봐!\n 청약 몰라?\n 이걸로 아파트 분양 받을 수 있어!\n 그렇구나 그러면 청약 한번 알아봐야겠다 하하\n 그거 빨리 가입하면 할수록 좋아!
11,일반 대화,피부과 가보셨나요?\n 아뇨 피부질환 외에는 ㅠ\n 피부질환 때문에 가도 피부관리 이런 거 추천 안 하나요?\n 네 안 하더라구요 .가망이 없어 보였을까요 . 키키\n 악... ㅠ 너무 슬프네요 ㅜ\n 피부가 많이 예민하신 건가요?\n 음 예민한 편이예요\n **님은 가보셨나요\n 아뇨... 다들 관리 받던데 전 뭘 해야 할지 모르겠어요\n 피부가 좋으셔서 필요 없으신 건 아닐깡\n 까요\n 보톡스는 맞아 보셨나요?\n 아뇨...?\n 다들 이런 거 맞으러 가던데 전 무서워서요 ㅠ\n 네 보톡스는 많이들 맞는다더라고요\n 엄청 아프대요 ㅠ 근데 맞고 나면 뭔가 어색해 보이던데요~\n 그래요? 저는 가까이서? 경험해본 적이 없어요!\n 금세 붓기 가라앉지 않나요?\n 몰라요... 전 그냥 얼굴에 뭘 한다는 것 자체에 거부감이 좀 있는 편이거든요.\n 피부에서 광 나시는 분들 보면 부럽긴 하더라구요 ㅠ\n 저도요~ 연예인들 보면 피부에서 광 나던데요~\n 그런 건 뭘 해야 되죠?\n 모르겠어요...ㅋ 피부과의 세계는 무궁무진...\n 저도 뭐가 뭔지 몰라서 이 상태로 갔다간 덤탱이 쓸 것만 같아서 못 가고 있어요 키키\n 그렇죠~ 이번 겨울에는 한 번 가보고 싶긴 해요 ㅠ
12,일반 대화,다음 주 주말에 우리 동네 근처에서 프리마켓 열린다네?\n 프리마켓이 뭐지?\n 바자회 같은 거라고 해야하나?\n 쓰던 거 모아서 파는건가?\n 음~보통은 직접 만든 것을 가지고 나와서 팔지? 키키\n 그래? 궁금하긴 하네 주로 음식 위주로 파나?\n 현수막 보니까 패션소품도 있고 강아지 옷도 있고\n 근데 음식 종류가 단연 많네 키키\n 키키 그렇군\n 가보자고 키키\n 결제는 현금만 되겠지?\n 카드 결제기 들고 다니는 판매자도 있던 것 같긴 해 키키\n 알았어~
13,일반 대화,친척 동생은 자주 만나요?\n 아뇨 자주 못만나요\n 코로나 때문에요?\n 코로나도 때문에 더그렇죠\n 코로나가 이산 가족 만드네요\n 네 그래서 아쉬어요\n 전화 많이 하시겠어요\n 전화로 그림움을 달래네요\n 코로나 끝나면 회포 푸시겠어요\n 동생이랑 수다 떨고 싶어요
14,일반 대화,다들 집이 어디야?\n 나는 산청이지요\n 완전 핵촌 ...\n 나는 진주에 살고 있음\n 우리집은 친환경적인 정촌이야!\n 여기보다 더 친환경적인 곳은 없어 ...\n 혹시 소도 키워?\n 와 아파트 산책하는데 고라니 만났잖아\n 키키 나는 심심하면 만난다구\n 너구리도 만남\n 고라니가 한번씩 내려 오지 않아?\n 아파트 산책로에 고라니 있었다구...!\n 아놔\n 아파트 산책로에 고라니라니 ㄷㄷ\n 난 오늘 고양이 로드킬 봤음\n 산청에 수달 있음?\n 여긴 있음!\n 수달 여기 엄청 많지\n 심심하면 보임 ㅠ\n 수달은 공격적이지 않아?\n 엘베 탔는데 고라니 있으면 어쩔...\n 아니\n 엘베까지 타나\n 똑똑한 고라니고\n 고라니는 사람 막 공격할 건데
